"Turbulence_Intensity_(local)","X (m)","Y (m)","Z (m)"
0.103106361901818,275,25,30
0.103106361901818,277.5,25,30
0.103106361901818,280,25,30
0.105410651442576,282.5,25,30
0.105410651442576,285,25,30
0.103152467808113,287.5,25,30
0.103152467808113,290,25,30
0.103152467808113,292.5,25,30
0.103152467808113,295,25,30
0.104411627012897,297.5,25,30
0.104411627012897,300,25,30
0.104411627012897,302.5,25,30
0.104411627012897,305,25,30
0.110596720259383,307.5,25,30
0.102848132437054,310,25,30
0.102848132437054,312.5,25,30
0.102848132437054,315,25,30
0.102848132437054,317.5,25,30
0.103385014069026,320,25,30
0.103385014069026,322.5,25,30
0.103385014069026,325,25,30
0.103454461149348,327.5,25,30
0.103454461149348,330,25,30
0.103454461149348,332.5,25,30
0.103454461149348,335,25,30
0.103742434291738,337.5,25,30
0.103742434291738,340,25,30
0.103742434291738,342.5,25,30
0.106091415076471,345,25,30
0.106091415076471,347.5,25,30
0.106091415076471,350,25,30
0.10339314446727,352.5,25,30
0.102539509087861,355,25,30
0.102539509087861,357.5,25,30
0.107118613845187,360,25,30
0.107118613845187,362.5,25,30
0.107118613845187,365,25,30
0.0994670284880154,367.5,25,30
0.0994670284880154,370,25,30
0.105457625905576,372.5,25,30
0.105457625905576,375,25,30
0.105457625905576,377.5,25,30
0.105457625905576,380,25,30
0.100362630202699,382.5,25,30
0.100362630202699,385,25,30
0.100362630202699,387.5,25,30
0.100362630202699,390,25,30
0.100362630202699,392.5,25,30
0.106392675084519,395,25,30
0.102040538036853,397.5,25,30
0.102040538036853,400,25,30
0.112198455744248,190,25,30
0.112198455744248,192.5,25,30
0.109979527767125,195,25,30
0.109979527767125,197.5,25,30
0.109979527767125,200,25,30
0.103578907404347,202.5,25,30
0.103578907404347,205,25,30
0.110627785486011,207.5,25,30
0.110627785486011,210,25,30
0.101978486462509,212.5,25,30
0.10570742025598,215,25,30
0.112775343687071,217.5,25,30
0.112775343687071,220,25,30
0.109957933235589,222.5,25,30
0.109957933235589,225,25,30
0.103893015496817,227.5,25,30
0.103893015496817,230,25,30
0.103893015496817,232.5,25,30
0.103893015496817,235,25,30
0.109292993998824,237.5,25,30
0.102314197794602,240,25,30
0.113248881976767,242.5,25,30
0.113248881976767,245,25,30
0.104428882852598,247.5,25,30
0.104428882852598,250,25,30
0.104428882852598,252.5,25,30
0.104428882852598,255,25,30
0.10375414301782,257.5,25,30
0.10375414301782,260,25,30
0.10375414301782,262.5,25,30
0.102102702664263,265,25,30
0.102102702664263,267.5,25,30
0.102102702664263,270,25,30
0.11098285574647,272.5,25,30
0.108714743946667,132.5,25,30
0.108714743946667,135,25,30
0.108714743946667,137.5,25,30
0.107902307711938,140,25,30
0.107902307711938,142.5,25,30
0.110981208814481,145,25,30
0.110981208814481,147.5,25,30
0.109473490993353,150,25,30
0.109473490993353,152.5,25,30
0.109473490993353,155,25,30
0.101884068756687,157.5,25,30
0.101884068756687,160,25,30
0.101884068756687,162.5,25,30
0.101884068756687,165,25,30
0.105241836425711,167.5,25,30
0.105241836425711,170,25,30
0.105241836425711,172.5,25,30
0.105241836425711,175,25,30
0.105241836425711,177.5,25,30
0.109664695096207,180,25,30
0.109664695096207,182.5,25,30
0.105193759246483,185,25,30
0.105193759246483,187.5,25,30
0.10631068815745,95,25,30
0.10631068815745,97.5,25,30
0.10631068815745,100,25,30
0.107708932634497,102.5,25,30
0.107708932634497,105,25,30
0.107708932634497,107.5,25,30
0.107682341325604,110,25,30
0.106543091948976,112.5,25,30
0.102240252233138,115,25,30
0.102240252233138,117.5,25,30
0.10344389447605,120,25,30
0.109667703839315,122.5,25,30
0.109667703839315,125,25,30
0.105729998792026,127.5,25,30
0.105729998792026,130,25,30
0.0969988456635709,62.5,25,30
0.101888879571621,65,25,30
0.101888879571621,67.5,25,30
0.101888879571621,70,25,30
0.103114829090668,72.5,25,30
0.105451005924892,75,25,30
0.105451005924892,77.5,25,30
0.100865922678642,80,25,30
0.10649231891564,82.5,25,30
0.10649231891564,85,25,30
0.10649231891564,87.5,25,30
0.102524681017401,90,25,30
0.102524681017401,92.5,25,30
0.0963933880075296,25,25,30
0.0963933880075296,27.5,25,30
0.0963933880075296,30,25,30
0.0958711195721479,32.5,25,30
0.0958711195721479,35,25,30
0.0961128311553714,37.5,25,30
0.0961128311553714,40,25,30
0.096843895701923,42.5,25,30
0.0988123396445417,45,25,30
0.0988123396445417,47.5,25,30
0.0985479123085925,50,25,30
0.0974575802551416,52.5,25,30
0.0974575802551416,55,25,30
0.0986244936367762,57.5,25,30
0.0986244936367762,60,25,30
0.100452174838603,-40,25,30
0.100452174838603,-37.5,25,30
0.100452174838603,-35,25,30
0.100306811423683,-32.5,25,30
0.100306811423683,-30,25,30
0.100306811423683,-27.5,25,30
0.100306811423683,-25,25,30
0.100831581097457,-22.5,25,30
0.100831581097457,-20,25,30
0.100831581097457,-17.5,25,30
0.100831581097457,-15,25,30
0.100858181841826,-12.5,25,30
0.100858181841826,-10,25,30
0.100982126693022,-7.5,25,30
0.100982126693022,-5,25,30
0.100982126693022,-2.5,25,30
0.100778992368412,0,25,30
0.100778992368412,2.5,25,30
0.100478498138614,5,25,30
0.100965338460859,7.5,25,30
0.0997175282416231,10,25,30
0.0994759459472783,12.5,25,30
0.0994759459472783,15,25,30
0.098808050352728,17.5,25,30
0.0979097679537232,20,25,30
0.0973759630556256,22.5,25,30
0.0999987649497246,-100,25,30
0.0999987649497246,-97.5,25,30
0.0999987649497246,-95,25,30
0.0999902960063565,-92.5,25,30
0.0999902960063565,-90,25,30
0.0999902960063565,-87.5,25,30
0.0999969140465923,-85,25,30
0.0999833062229282,-82.5,25,30
0.0999833062229282,-80,25,30
0.0999833062229282,-77.5,25,30
0.0999833062229282,-75,25,30
0.0999833062229282,-72.5,25,30
0.100013174139951,-70,25,30
0.100013174139951,-67.5,25,30
0.100013174139951,-65,25,30
0.100059243731345,-62.5,25,30
0.100059243731345,-60,25,30
0.100059243731345,-57.5,25,30
0.100059243731345,-55,25,30
0.100173290385694,-52.5,25,30
0.100173290385694,-50,25,30
0.100173290385694,-47.5,25,30
0.100173290385694,-45,25,30
0.100221847594784,-42.5,25,30
