"Iteration","Torque (row-1_turbine-1) Monitor: Torque (row-1_turbine-1) Monitor (N-m)","Torque (row-1_turbine-2) Monitor: Torque (row-1_turbine-2) Monitor (N-m)","Torque (row-1_turbine-3) Monitor: Torque (row-1_turbine-3) Monitor (N-m)","Torque (row-1_turbine-4) Monitor: Torque (row-1_turbine-4) Monitor (N-m)","Torque (row-1_turbine-5) Monitor: Torque (row-1_turbine-5) Monitor (N-m)","Torque (row-2_turbine-1) Monitor: Torque (row-2_turbine-1) Monitor (N-m)","Torque (row-2_turbine-2) Monitor: Torque (row-2_turbine-2) Monitor (N-m)","Torque (row-2_turbine-3) Monitor: Torque (row-2_turbine-3) Monitor (N-m)","Torque (row-2_turbine-4) Monitor: Torque (row-2_turbine-4) Monitor (N-m)"
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,56809.091395454634,43669.19852446463,45426.434068545845,45140.83129270974,58612.36915775517,26425.467324407495,18887.345581858484,18955.024882328667,26924.225427115423
3.0,78355.09891364552,53267.768507035966,55850.44461267113,53932.80297156204,78182.06161977645,38767.66054811214,23550.338917924135,23756.085068606502,39249.98577902616
4.0,55600.3226848714,65227.815913543745,67135.55761109816,66122.84769831429,54802.01143540545,50098.560435763546,29288.355875951493,29444.64277053871,50305.08498161145
5.0,13358.223697452173,79047.86838229683,79747.93906392744,80043.06368308295,12528.847468656902,55309.03857250112,34664.668532120755,34902.15555840619,55422.67052564323
6.0,13009.455137672778,71906.14026672918,72221.21319707362,68865.5763335731,13056.76437023799,54643.05779605247,39260.37872878477,39618.40030686119,54267.91936553838
7.0,13893.581032860531,46729.014828096064,47247.24191589729,43910.96215276745,13917.790049286854,50859.26330315855,45376.52092317937,45904.87996590837,50606.38285115323
8.0,14521.623573711546,24428.258890399116,24930.338483824726,21755.032984040314,14545.790151932133,47291.029252840824,53591.684356418926,54170.16531116249,47700.99949369277
9.0,15020.299408339892,12073.89467914195,12055.481259193937,12201.934433827882,15026.406589839105,46438.34910921141,64953.13918516427,65402.15970096571,47661.41620535572
10.0,15366.460146855046,12977.039754374238,12970.802125701804,13085.465941076314,15348.552248344211,48852.14255301689,79922.08389548838,79982.13007342287,50323.5116547107
