name,table,rotor_rpm,x,y,z,nx,ny,nz,rotor_radius,hub_radius,rotor_thick
row-1_turbine-1,Mezzanine,9.2,187.5,100,30,1,0,0,12.5,0,2
row-1_turbine-2,Mezzanine,9.2,187.5,175,30,1,0,0,12.5,0,2
row-1_turbine-3,Mezzanine,9.2,187.5,250,30,1,0,0,12.5,0,2
row-1_turbine-4,Mezzanine,9.2,187.5,325,30,1,0,0,12.5,0,2
row-1_turbine-5,Mezzanine,9.2,187.5,400,30,1,0,0,12.5,0,2
row-2_turbine-1,Mezzanine,9.2,375,137.5,30,1,0,0,12.5,0,2
row-2_turbine-2,Mezzanine,9.2,375,212.5,30,1,0,0,12.5,0,2
row-2_turbine-3,Mezzanine,9.2,375,287.5,30,1,0,0,12.5,0,2
row-2_turbine-4,Mezzanine,9.2,375,362.5,30,1,0,0,12.5,0,2
